References,gal_name,gal_ra_deg,gal_dec_deg,gal_vlsr_km/s,qso_hsla_name,qso_ra_deg,qso_dec_deg,impact_para_kpc,impact_para_err,qso_hsla_snr,qso_snr_stis,gal_z,gal_dmpc,d_err,d_ref,logM*,logM*_err,M*_ref,logM200m,logM200m_err,M200m_ref,logM200c,logM200c_err,M200c_ref,logMHI,logMHI_err,MHI_ref,logSFR_flg,logSFR(Msun/yr),logSFR_err,SFR_ref,R200m_kpc,R200m_err,R200c_kpc,R200c_err,Wr_flg_HI,Wr_HI,eWr_HI,logN_flg_HI,logN_HI,elogN_HI,Wr_flg_SiII,Wr_SiII,eWr_SiII,logN_flg_SiII,logN_SiII,elogN_SiII,Wr_flg_SiIII,Wr_SiIII,eWr_SiIII,logN_flg_SiIII,logN_SiIII,elogN_SiIII,Wr_flg_SiIV,Wr_SiIV,eWr_SiIV,logN_flg_SiIV,logN_SiIV,elogN_SiIV,Wr_flg_CII,Wr_CII,eWr_CII,logN_flg_CII,logN_CII,elogN_CII,Wr_flg_CIV,Wr_CIV,eWr_CIV,logN_flg_CIV,logN_CIV,elogN_CIV,Wr_flg_OVI,Wr_OVI,eWr_OVI,logN_flg_OVI,logN_OVI,elogN_OVI
Liang&Chen2014,SDSSJ080338.03+432034.9,120.9085,43.343,nan,SDSSJ080359.23+433258.4,120.9968,43.5496,242.4,nan,6.1,nan,0.0153,nan,nan,,9.43,nan,Liang+2014(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,,-0.99,nan,Liang+2014,212.8,nan,128.0,nan,=,209.0,20.0,=,13.58,0.04,<=(1sig),8.0,nan,<=(1sig),11.68,nan,,nan,nan,,nan,nan,<=(1sig),22.5,nan,<=(1sig),12.41,nan,<=(1sig),16.5,nan,<=(1sig),12.91,nan,<=(1sig),19.0,nan,<=(1sig),12.67,nan,,nan,nan,,nan,nan
Liang&Chen2014,ESO157-50,70.1834,-52.7583,nan,HE0439-5254,70.0501,-52.8049,88.5,nan,6.3,nan,0.0129,nan,nan,,9.43,nan,Liang+2014(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,,nan,nan,Liang+2014,212.8,nan,128.0,nan,=,598.0,21.0,=,14.04,0.02,<=(1sig),5.0,nan,<=(1sig),11.48,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.01,nan,<=(1sig),8.0,nan,<=(1sig),12.6,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ104901.52-003825.4,162.2564,-0.6404,nan,PG1049-005,162.9643,-0.8549,337.5,nan,10.5,nan,0.0062,nan,nan,,9.43,nan,Liang+2014(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,,-0.96,nan,Liang+2014,212.8,nan,128.0,nan,<=(1sig),12.5,nan,<=(1sig),12.36,nan,<=(1sig),6.0,nan,<=(1sig),11.56,nan,,nan,nan,,nan,nan,<=(1sig),7.5,nan,<=(1sig),11.93,nan,<=(1sig),10.5,nan,<=(1sig),12.72,nan,<=(1sig),13.0,nan,<=(1sig),12.51,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ111843.28+212723.0,169.6804,21.4564,nan,PG1116+215,169.7862,21.3217,387.6,nan,45.0,10.0,0.0323,nan,nan,,9.43,nan,Liang+2014(Kroupa IMF),11.5,nan,M21,11.35,nan,M21,nan,nan,,,nan,nan,Liang+2014,212.8,nan,128.0,nan,=,108.0,6.0,=,13.3,0.02,,nan,nan,,nan,nan,<=(1sig),2.0,nan,<=(1sig),10.98,nan,<=(1sig),1.5,nan,<=(1sig),11.23,nan,<=(1sig),1.0,nan,<=(1sig),11.7,nan,<=(1sig),6.5,nan,<=(1sig),12.21,nan,,nan,nan,,nan,nan
Bordoloi+2014,69_79,126.6605,7.7212,nan,SDSSJ082633.51+074248.3,126.6396,7.7134,77.0,nan,7.4,nan,0.052,nan,nan,,9.52,nan,Bordoloi14(Kroupa IMF),11.55,nan,M21,11.4,nan,M21,nan,nan,,=,0.1,nan,Bordoloi+2014,221.1,nan,133.0,nan,>,1099.8,21.6,>,14.78,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,452.0,38.0,>,14.39,nan,,nan,nan,,nan,nan
Bordoloi+2014,358_76,173.7394,25.9457,nan,SDSSJ113457.62+255527.9,173.7405,25.9244,47.0,nan,6.9,nan,0.032,nan,nan,,9.52,nan,Bordoloi14(Kroupa IMF),11.55,nan,M21,11.4,nan,M21,nan,nan,,=,-0.2,nan,Bordoloi+2014,221.1,nan,133.0,nan,>,623.7,19.4,>,14.43,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,111.0,35.0,=,13.58,0.12,,nan,nan,,nan,nan
Bordoloi+2014,211_65,166.0177,31.6709,nan,SDSSJ110406.94+314111.4,166.029,31.6865,58.0,nan,9.1,nan,0.047,nan,nan,,9.52,nan,Bordoloi14(Kroupa IMF),11.55,nan,M21,11.4,nan,M21,nan,nan,,<,-1.2,nan,Bordoloi+2014,221.1,nan,133.0,nan,=,57.1,13.7,=,13.09,0.1,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),29.0,nan,<=(1sig),12.93,nan,,nan,nan,,nan,nan
Bordoloi+2014,234_105,147.4399,39.0172,nan,SDSSJ094952.91+390203.9,147.4706,39.0344,37.0,nan,10.4,nan,0.018,nan,nan,,9.52,nan,Bordoloi14(Kroupa IMF),11.55,nan,M21,11.4,nan,M21,nan,nan,,=,0.0,nan,Bordoloi+2014,221.1,nan,133.0,nan,>,1001.9,21.9,>,14.71,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,605.0,28.0,>,14.54,nan,,nan,nan,,nan,nan
Bordoloi+2014,285_98,181.8079,26.4154,nan,SDSSJ120720.99+262429.1,181.8375,26.4081,90.0,nan,6.7,nan,0.048,nan,nan,,9.52,nan,Bordoloi14(Kroupa IMF),11.55,nan,M21,11.4,nan,M21,nan,nan,,=,-0.3,nan,Bordoloi+2014,221.1,nan,133.0,nan,>,569.0,21.9,>,14.38,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,437.0,33.0,=,14.19,0.03,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ004214.99-104414.9,10.5625,-10.7375,nan,SDSSJ004222.29-103743.8,10.5929,-10.6288,290.0,nan,6.5,nan,0.036,nan,nan,,9.53,nan,Liang+2014(Kroupa IMF),11.56,nan,M21,11.41,nan,M21,nan,nan,,,-0.88,nan,Liang+2014,222.8,nan,134.1,nan,<=(1sig),4.0,nan,<=(1sig),11.87,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),11.5,nan,<=(1sig),12.12,nan,,nan,nan,,nan,nan,<=(1sig),25.0,nan,<=(1sig),12.79,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ163231.92+373828.1,248.133,37.6412,nan,PG1630+377,248.0047,37.6306,234.2,nan,12.7,nan,0.0319,nan,nan,,9.53,nan,Liang+2014(Kroupa IMF),11.56,nan,M21,11.41,nan,M21,nan,nan,,,-0.66,nan,Liang+2014,222.8,nan,134.1,nan,,nan,nan,,nan,nan,<=(1sig),3.0,nan,<=(1sig),11.26,nan,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.66,nan,<=(1sig),3.5,nan,<=(1sig),12.24,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ134249.99-005329.0,205.7083,-0.8914,nan,SDSSJ134251.60-005345.3,205.715,-0.8959,39.3,nan,10.3,nan,0.0708,nan,nan,,9.53,nan,Liang+2014(Kroupa IMF),11.56,nan,M21,11.41,nan,M21,nan,nan,,,nan,nan,Liang+2014,222.8,nan,134.1,nan,=,660.0,16.0,=,14.08,0.01,=,69.0,8.0,=,12.62,0.05,=,78.0,6.0,=,12.57,0.03,<=(1sig),8.0,nan,<=(1sig),11.96,nan,=,140.0,14.0,=,13.84,0.04,=,309.0,24.0,=,13.88,0.03,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ091225.86+095719.8,138.1078,9.9555,nan,SDSSJ091029.75+101413.6,137.624,10.2371,302.8,nan,3.3,nan,0.0074,nan,nan,,9.53,nan,Liang+2014(Kroupa IMF),11.56,nan,M21,11.41,nan,M21,nan,nan,,,-0.99,nan,Liang+2014,222.8,nan,134.1,nan,=,188.0,28.0,=,13.54,0.06,<=(1sig),13.5,nan,<=(1sig),11.91,nan,,nan,nan,,nan,nan,<=(1sig),10.0,nan,<=(1sig),12.05,nan,<=(1sig),9.5,nan,<=(1sig),12.67,nan,<=(1sig),7.5,nan,<=(1sig),12.27,nan,,nan,nan,,nan,nan
Liang&Chen2014,ESO466-032,330.01,-30.1837,nan,PKS2155-304,329.7169,-30.2256,321.1,nan,49.4,8.0,0.0171,nan,nan,,9.53,nan,Liang+2014(Kroupa IMF),11.56,nan,M21,11.41,nan,M21,nan,nan,,,nan,nan,Liang+2014,222.8,nan,134.1,nan,=,336.0,12.0,=,13.79,0.02,<=(1sig),4.5,nan,<=(1sig),11.43,nan,<=(1sig),5.5,nan,<=(1sig),11.42,nan,<=(1sig),6.5,nan,<=(1sig),11.87,nan,<=(1sig),6.5,nan,<=(1sig),12.51,nan,<=(1sig),9.5,nan,<=(1sig),12.37,nan,,nan,nan,,nan,nan
Bordoloi+2014,122_131,201.8105,44.5651,nan,SDSSJ132704.13+443505.0,201.7665,44.5847,119.0,nan,2.7,nan,0.048,nan,nan,,9.62,nan,Bordoloi14(Kroupa IMF),11.6,nan,M21,11.45,nan,M21,nan,nan,,=,0.3,nan,Bordoloi+2014,229.8,nan,138.2,nan,>,513.7,61.8,>,14.26,0.06,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),19.0,nan,<=(1sig),12.95,nan,,nan,nan,,nan,nan
Bordoloi+2014,260_17,125.0958,23.5798,nan,SDSSJ082024.21+233450.4,125.1009,23.5807,29.0,nan,7.9,nan,0.095,nan,nan,,9.62,nan,Bordoloi14(Kroupa IMF),11.6,nan,M21,11.45,nan,M21,nan,nan,,<,-1.1,nan,Bordoloi+2014,229.8,nan,138.2,nan,>,1123.9,30.8,>,14.64,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,201.0,42.0,>,14.1,nan,,nan,nan,,nan,nan
Bordoloi+2014,114_210,169.5358,26.5472,nan,SDSSJ111754.31+263416.6,169.476,26.5713,114.0,nan,7.9,nan,0.028,nan,nan,,9.62,nan,Bordoloi14(Kroupa IMF),11.6,nan,M21,11.45,nan,M21,nan,nan,,<,-2.3,nan,Bordoloi+2014,229.8,nan,138.2,nan,<=(1sig),19.9,nan,<=(1sig),12.56,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),32.0,nan,<=(1sig),12.98,nan,,nan,nan,,nan,nan
Bordoloi+2014,285_81,236.4508,9.6117,nan,SDSSJ154553.48+093620.5,236.4735,9.6057,84.0,nan,4.4,nan,0.055,nan,nan,,9.62,nan,Bordoloi14(Kroupa IMF),11.6,nan,M21,11.45,nan,M21,nan,nan,,=,0.0,nan,Bordoloi+2014,229.8,nan,138.2,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,393.0,41.0,=,14.14,0.05,,nan,nan,,nan,nan
Bordoloi+2014,20_223,138.1732,30.015,nan,SDSSJ091235.42+295725.4,138.1476,29.9571,102.0,nan,4.6,nan,0.023,nan,nan,,9.62,nan,Bordoloi14(Kroupa IMF),11.6,nan,M21,11.45,nan,M21,nan,nan,,=,-0.2,nan,Bordoloi+2014,229.8,nan,138.2,nan,<=(1sig),28.6,nan,<=(1sig),12.72,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),18.0,nan,<=(1sig),12.67,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ170325.13+603944.4,255.8548,60.6624,nan,3C351,256.1724,60.7418,304.3,nan,nan,5.0,0.024,nan,nan,,9.63,nan,Liang+2014(Kroupa IMF),11.610000000000001,nan,M21,11.46,nan,M21,nan,nan,,,nan,nan,Liang+2014,231.6,nan,139.3,nan,,nan,nan,,nan,nan,<=(1sig),5.5,nan,<=(1sig),11.52,nan,<=(1sig),9.5,nan,<=(1sig),11.66,nan,<=(1sig),8.0,nan,<=(1sig),11.96,nan,<=(1sig),10.0,nan,<=(1sig),12.7,nan,<=(1sig),16.5,nan,<=(1sig),12.61,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ115042.63+543817.1,177.6776,54.6381,nan,PG1148+549,177.8353,54.6259,368.4,nan,12.7,nan,0.0574,nan,nan,,9.63,nan,Liang+2014(Kroupa IMF),11.610000000000001,nan,M21,11.46,nan,M21,nan,nan,,,nan,nan,Liang+2014,231.6,nan,139.3,nan,=,467.0,6.0,=,13.93,0.01,<=(1sig),3.5,nan,<=(1sig),11.32,nan,<=(1sig),3.0,nan,<=(1sig),11.15,nan,<=(1sig),4.5,nan,<=(1sig),11.71,nan,<=(1sig),5.5,nan,<=(1sig),12.44,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ040118.32-054025.5,60.3264,-5.6738,nan,SDSSJ040148.98-054056.5,60.4541,-5.6824,493.9,nan,7.4,nan,0.0554,nan,nan,,9.63,nan,Liang+2014(Kroupa IMF),11.610000000000001,nan,M21,11.46,nan,M21,nan,nan,,,nan,nan,Liang+2014,231.6,nan,139.3,nan,=,219.0,25.0,=,13.6,0.05,<=(1sig),8.0,nan,<=(1sig),11.68,nan,<=(1sig),8.5,nan,<=(1sig),11.61,nan,,nan,nan,,nan,nan,<=(1sig),14.0,nan,<=(1sig),12.84,nan,<=(1sig),22.0,nan,<=(1sig),12.74,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ091510.48+282456.9,138.7936,28.4158,nan,SDSSJ091440.38+282330.6,138.6683,28.3918,205.9,nan,7.4,nan,0.0252,nan,nan,,9.63,nan,Liang+2014(Kroupa IMF),11.610000000000001,nan,M21,11.46,nan,M21,nan,nan,,,-0.48,nan,Liang+2014,231.6,nan,139.3,nan,=,594.0,14.0,=,14.04,0.01,<=(1sig),8.5,nan,<=(1sig),11.71,nan,<=(1sig),9.0,nan,<=(1sig),11.63,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,<=(1sig),14.0,nan,<=(1sig),12.84,nan,<=(1sig),23.0,nan,<=(1sig),12.76,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ120701.76+262023.3,181.7573,26.3398,nan,SDSSJ120720.99+262429.1,181.8375,26.4081,314.8,nan,6.7,nan,0.0449,nan,nan,,9.63,nan,Liang+2014(Kroupa IMF),11.610000000000001,nan,M21,11.46,nan,M21,nan,nan,,,-0.94,nan,Liang+2014,231.6,nan,139.3,nan,<=(1sig),14.5,nan,<=(1sig),12.43,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),15.0,nan,<=(1sig),12.23,nan,<=(1sig),8.5,nan,<=(1sig),12.62,nan,<=(1sig),11.5,nan,<=(1sig),12.46,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ114015.59+655551.7,175.065,65.931,nan,3c263,174.9877,65.797,446.7,nan,23.0,nan,0.0459,nan,nan,,9.63,nan,Liang+2014(Kroupa IMF),11.610000000000001,nan,M21,11.46,nan,M21,nan,nan,,,-0.44,nan,Liang+2014,231.6,nan,139.3,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),2.0,nan,<=(1sig),10.98,nan,,nan,nan,,nan,nan,<=(1sig),3.5,nan,<=(1sig),12.24,nan,<=(1sig),6.0,nan,<=(1sig),12.17,nan,,nan,nan,,nan,nan
Bordoloi+2014,247_92,164.9687,25.276,nan,SDSSJ105958.82+251708.8,164.9955,25.2858,37.0,nan,7.9,nan,0.021,nan,nan,,9.72,nan,Bordoloi14(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,=,-0.2,nan,Bordoloi+2014,240.6,nan,144.8,nan,>,628.3,19.3,>,14.4,0.03,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,152.0,34.0,=,13.74,0.08,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ112457.15+420550.8,171.2381,42.0974,nan,PG1121+422,171.1631,42.0292,212.9,nan,18.2,nan,0.0337,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,-0.58,nan,Liang+2014,240.6,nan,144.8,nan,=,198.0,6.0,=,13.56,0.01,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.28,nan,<=(1sig),5.5,nan,<=(1sig),11.79,nan,<=(1sig),8.0,nan,<=(1sig),12.6,nan,<=(1sig),10.5,nan,<=(1sig),12.42,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ111044.91+555252.8,167.6872,55.8813,nan,SBS1108+560,167.8841,55.7906,497.6,nan,4.1,nan,0.0494,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,-0.36,nan,Liang+2014,240.6,nan,144.8,nan,<=(1sig),54.5,nan,<=(1sig),13.0,nan,<=(1sig),5.0,nan,<=(1sig),11.48,nan,<=(1sig),29.0,nan,<=(1sig),12.14,nan,<=(1sig),6.0,nan,<=(1sig),11.83,nan,<=(1sig),7.0,nan,<=(1sig),12.54,nan,<=(1sig),13.5,nan,<=(1sig),12.53,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ102945.54+504750.3,157.4398,50.7973,nan,1ES1028+511,157.8272,50.8933,476.8,nan,18.8,nan,0.025,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,-0.46,nan,Liang+2014,240.6,nan,144.8,nan,,nan,nan,,nan,nan,<=(1sig),4.5,nan,<=(1sig),11.43,nan,<=(1sig),4.5,nan,<=(1sig),11.33,nan,<=(1sig),7.0,nan,<=(1sig),11.9,nan,<=(1sig),7.0,nan,<=(1sig),12.54,nan,<=(1sig),15.0,nan,<=(1sig),12.57,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ08091327+4618424,122.3049,46.3119,nan,SDSSJ080908.13+461925.6,122.2837,46.3241,62.7,nan,11.6,nan,0.0466,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,-0.43,nan,Liang+2014,240.6,nan,144.8,nan,=,1026.0,10.0,=,14.28,0.0,<=(1sig),5.5,nan,<=(1sig),11.52,nan,=,54.0,6.0,=,12.41,0.05,=,69.0,7.0,=,12.89,0.04,<=(1sig),10.5,nan,<=(1sig),12.72,nan,<=(1sig),13.5,nan,<=(1sig),12.53,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ113056.11+311445.6,172.7338,31.246,nan,TON580,172.7895,31.2349,249.1,nan,20.4,nan,0.0745,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,nan,nan,Liang+2014,240.6,nan,144.8,nan,=,324.0,11.0,=,13.77,0.01,<=(1sig),3.5,nan,<=(1sig),11.32,nan,<=(1sig),6.5,nan,<=(1sig),11.49,nan,<=(1sig),6.5,nan,<=(1sig),11.87,nan,<=(1sig),9.5,nan,<=(1sig),12.67,nan,<=(1sig),11.0,nan,<=(1sig),12.44,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ091923.23+553137.1,139.847,55.527,nan,MRK106,139.9804,55.3603,418.6,nan,27.1,nan,0.0318,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,-0.61,nan,Liang+2014,240.6,nan,144.8,nan,=,217.0,6.0,=,13.6,0.01,<=(1sig),3.5,nan,<=(1sig),11.32,nan,<=(1sig),3.0,nan,<=(1sig),11.15,nan,<=(1sig),4.5,nan,<=(1sig),11.71,nan,<=(1sig),3.5,nan,<=(1sig),12.24,nan,<=(1sig),10.0,nan,<=(1sig),12.39,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ024248.74-082356.3,40.7029,-8.3991,nan,SDSSJ024250.85-075914.2,40.7119,-7.9873,436.6,nan,6.4,nan,0.0144,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,-1.83,nan,Liang+2014,240.6,nan,144.8,nan,<=(1sig),22.0,nan,<=(1sig),12.61,nan,<=(1sig),14.0,nan,<=(1sig),11.93,nan,<=(1sig),11.0,nan,<=(1sig),11.72,nan,,nan,nan,,nan,nan,<=(1sig),15.0,nan,<=(1sig),12.87,nan,<=(1sig),33.5,nan,<=(1sig),12.92,nan,,nan,nan,,nan,nan
Liang&Chen2014,NGC3485,165.0099,14.8416,nan,SDSSJ105945.23+144142.9,164.9385,14.6953,57.6,nan,9.1,nan,0.0048,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,nan,nan,Liang+2014,240.6,nan,144.8,nan,=,506.0,12.0,=,13.97,0.01,<=(1sig),5.5,nan,<=(1sig),11.52,nan,<=(1sig),11.0,nan,<=(1sig),11.72,nan,<=(1sig),10.5,nan,<=(1sig),12.08,nan,<=(1sig),17.5,nan,<=(1sig),12.94,nan,<=(1sig),11.0,nan,<=(1sig),12.44,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ101509.81+465954.9,153.791,46.9987,nan,SDSSJ101622.60+470643.3,154.0942,47.112,423.2,nan,7.6,nan,0.0248,nan,nan,,9.73,nan,Liang+2014(Kroupa IMF),11.66,nan,M21,11.51,nan,M21,nan,nan,,,-1.96,nan,Liang+2014,240.6,nan,144.8,nan,<=(1sig),13.5,nan,<=(1sig),12.39,nan,<=(1sig),8.5,nan,<=(1sig),11.71,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,<=(1sig),15.5,nan,<=(1sig),12.24,nan,,nan,nan,,nan,nan,<=(1sig),39.0,nan,<=(1sig),12.99,nan,,nan,nan,,nan,nan
Bordoloi+2014,318_13,149.8127,5.0681,nan,SDSSJ095915.65+050355.1,149.8152,5.0653,14.0,nan,10.8,nan,0.059,nan,nan,,9.82,nan,Bordoloi14(Kroupa IMF),11.71,nan,M21,11.56,nan,M21,nan,nan,,=,0.1,nan,Bordoloi+2014,250.0,nan,150.4,nan,>,1052.0,18.6,>,14.75,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,824.0,38.0,>,14.69,nan,,nan,nan,,nan,nan
Bordoloi+2014,227_334,141.3791,45.5327,nan,SDSSJ092554.43+453544.4,141.4769,45.5957,95.0,nan,12.0,nan,0.014,nan,nan,,9.82,nan,Bordoloi14(Kroupa IMF),11.71,nan,M21,11.56,nan,M21,nan,nan,,=,-0.3,nan,Bordoloi+2014,250.0,nan,150.4,nan,=,397.9,17.1,=,14.11,0.02,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,106.0,18.0,=,13.56,0.06,,nan,nan,,nan,nan
Bordoloi+2014,165_95,181.1828,27.8776,nan,PG1202+281,181.176,27.9033,92.0,nan,6.4,nan,0.051,nan,nan,,9.82,nan,Bordoloi14(Kroupa IMF),11.71,nan,M21,11.56,nan,M21,nan,nan,,<,-2.1,nan,Bordoloi+2014,250.0,nan,150.4,nan,=,333.8,37.6,=,13.95,0.05,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,=,95.0,30.0,=,13.58,0.1,,nan,nan,,nan,nan
Liang&Chen2014,GALEXASCJ031201.78-765518.3,48.0073,-76.9216,nan,PKS0312-770,47.9802,-76.8641,238.6,nan,nan,5.0,0.0593,nan,nan,,9.83,nan,Liang+2014(Kroupa IMF),11.71,nan,M21,11.56,nan,M21,nan,nan,,,nan,nan,Liang+2014,250.0,nan,150.4,nan,=,170.0,11.0,=,13.49,0.03,<=(1sig),4.0,nan,<=(1sig),11.38,nan,<=(1sig),7.5,nan,<=(1sig),11.55,nan,<=(1sig),7.0,nan,<=(1sig),11.9,nan,<=(1sig),13.0,nan,<=(1sig),12.81,nan,<=(1sig),25.0,nan,<=(1sig),12.79,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ095016.61+483006.8,147.5692,48.5019,nan,SDSSJ095000.73+483129.3,147.5031,48.5248,178.6,nan,9.4,nan,0.0514,nan,nan,,9.83,nan,Liang+2014(Kroupa IMF),11.71,nan,M21,11.56,nan,M21,nan,nan,,,-1.46,nan,Liang+2014,250.0,nan,150.4,nan,=,598.0,28.0,=,14.04,0.02,<=(1sig),9.0,nan,<=(1sig),11.73,nan,<=(1sig),8.5,nan,<=(1sig),11.61,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,,nan,nan,,nan,nan,<=(1sig),29.5,nan,<=(1sig),12.86,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ022617.97+001203.8,36.5749,0.2011,nan,SDSSJ022614.46+001529.7,36.5602,0.2583,362.1,nan,0.0,nan,0.0913,nan,nan,,9.83,nan,Liang+2014(Kroupa IMF),11.71,nan,M21,11.56,nan,M21,nan,nan,,,nan,nan,Liang+2014,250.0,nan,150.4,nan,<=(1sig),25.5,nan,<=(1sig),12.67,nan,<=(1sig),7.5,nan,<=(1sig),11.66,nan,<=(1sig),14.5,nan,<=(1sig),11.84,nan,<=(1sig),13.0,nan,<=(1sig),12.17,nan,<=(1sig),18.0,nan,<=(1sig),12.95,nan,<=(1sig),23.0,nan,<=(1sig),12.76,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ120653.13+262534.4,181.7215,26.4262,nan,SDSSJ120720.99+262429.1,181.8375,26.4081,256.4,nan,6.7,nan,0.0339,nan,nan,,9.83,nan,Liang+2014(Kroupa IMF),11.71,nan,M21,11.56,nan,M21,nan,nan,,,-0.08,nan,Liang+2014,250.0,nan,150.4,nan,=,122.0,15.0,=,13.35,0.05,<=(1sig),12.5,nan,<=(1sig),11.88,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,<=(1sig),12.0,nan,<=(1sig),12.13,nan,<=(1sig),15.0,nan,<=(1sig),12.87,nan,<=(1sig),14.5,nan,<=(1sig),12.56,nan,,nan,nan,,nan,nan
Liang&Chen2014,2MASXJ123259.63-004158.0,188.2485,-0.6995,nan,SDSSJ123304.05-003134.1,188.2669,-0.5262,304.1,nan,11.0,nan,0.024,nan,nan,,9.83,nan,Liang+2014(Kroupa IMF),11.71,nan,M21,11.56,nan,M21,nan,nan,,,-1.78,nan,Liang+2014,250.0,nan,150.4,nan,=,196.0,14.0,=,13.56,0.03,<=(1sig),10.0,nan,<=(1sig),11.78,nan,<=(1sig),8.0,nan,<=(1sig),11.58,nan,,nan,nan,,nan,nan,<=(1sig),13.0,nan,<=(1sig),12.81,nan,<=(1sig),16.5,nan,<=(1sig),12.61,nan,,nan,nan,,nan,nan
